X,Y,Z,R
533432.42,4840331.72,151.42,600.0
533432.35,4840332.04,151.27,690.0
533432.33,4840332.05,151.03,520.0
533432.37,4840331.85,150.98,500.0
533435.85,4840345.9,152.21,1350.0
533435.75,4840346.0,152.1,1380.0
533435.74,4840345.81,152.06,2050.0
533435.73,4840345.73,152.01,2100.0
533435.63,4840346.0,152.0,1260.0
533435.62,4840345.81,151.9,1470.0
533435.72,4840345.68,151.99,1650.0
533435.62,4840345.69,151.88,1650.0
533435.61,4840346.12,151.87,1340.0
533435.61,4840345.94,151.81,1540.0
533435.62,4840345.8,151.66,1400.0
533435.58,4840345.98,151.65,1400.0
533435.58,4840345.9,151.61,1380.0
533435.52,4840346.03,151.45,1440.0
533435.57,4840346.2,151.54,1520.0
533435.49,4840346.21,151.4,1440.0
533435.52,4840345.52,151.28,1220.0
533436.35,4840343.07,151.07,1620.0
533436.2,4840344.02,151.29,700.0
533436.59,4840344.1,151.36,760.0
533437.02,4840344.02,151.28,780.0
533436.24,4840343.82,151.22,680.0
533436.66,4840343.84,151.21,710.0
533437.07,4840343.79,151.22,780.0
533436.25,4840343.46,151.13,1200.0
533436.78,4840343.45,151.16,1350.0
533437.15,4840343.47,151.18,1350.0
533436.8,4840343.13,151.07,1360.0
533437.2,4840343.23,151.11,970.0
533438.24,4840345.01,152.3,800.0
533438.25,4840344.87,152.19,1100.0
533436.46,4840344.68,151.71,1110.0
533436.99,4840344.76,151.76,1130.0
533438.38,4840344.05,151.54,1100.0
533439.25,4840344.3,152.18,1470.0
533439.06,4840344.59,152.22,1010.0
533438.94,4840344.73,152.22,1230.0
533438.57,4840344.67,152.16,1020.0
533438.89,4840344.23,151.75,1050.0
533438.62,4840344.56,151.64,1720.0
533439.33,4840343.64,152.24,1000.0
533439.19,4840343.73,152.03,1050.0
533439.11,4840343.75,151.7,1110.0
533439.16,4840343.21,152.16,620.0
533439.15,4840343.45,151.82,1060.0
533439.17,4840342.96,152.4,560.0
533439.09,4840342.57,152.33,470.0
533438.9,4840342.9,152.2,610.0
533439.0,4840343.06,152.25,610.0
533439.01,4840343.04,151.89,870.0
533439.06,4840343.17,151.88,930.0
533439.02,4840343.09,151.79,620.0
533438.88,4840342.4,152.13,510.0
533438.78,4840342.44,151.76,560.0
533438.68,4840342.59,151.53,670.0
533438.65,4840342.03,151.99,460.0
533438.38,4840341.89,151.94,420.0
533438.17,4840341.82,151.94,500.0
533437.98,4840341.94,151.75,500.0
533437.94,4840342.02,151.63,590.0
533437.94,4840342.09,151.55,590.0
533437.94,4840341.65,151.92,570.0
533437.8,4840341.7,151.73,660.0
533437.89,4840342.03,151.48,740.0
533437.82,4840341.93,151.4,710.0
533437.31,4840340.63,151.48,470.0
533437.62,4840340.3,151.88,420.0
533436.6,4840340.25,151.58,510.0
533436.91,4840340.5,151.42,630.0
533436.7,4840340.37,151.43,630.0
533437.12,4840340.61,151.35,550.0
533437.6,4840340.7,151.73,470.0
533436.91,4840340.51,151.33,610.0
533436.45,4840339.79,151.49,530.0
533436.61,4840340.06,151.4,500.0
533436.34,4840340.11,151.24,670.0
533436.24,4840339.68,151.57,500.0
533436.18,4840339.75,151.36,600.0
533435.12,4840344.34,150.96,950.0
533435.45,4840344.08,150.94,1050.0
533434.85,4840343.94,150.93,1000.0
533434.6,4840343.79,150.87,1000.0
533435.52,4840343.82,150.94,1450.0
533435.15,4840343.73,150.84,1920.0
533434.53,4840343.48,150.77,980.0
533434.99,4840343.59,150.79,1430.0
533434.74,4840343.58,150.81,1200.0
533435.96,4840343.4,150.98,830.0
533435.26,4840343.29,150.99,770.0
533435.48,4840343.47,150.98,750.0
533435.8,4840343.53,150.98,830.0
533434.3,4840343.16,150.86,560.0
533434.61,4840343.2,150.92,560.0
533435.04,4840343.27,150.95,750.0
533435.44,4840342.94,150.9,1530.0
533434.28,4840342.76,150.91,500.0
533435.99,4840342.77,150.9,1910.0
533434.75,4840342.74,150.94,660.0
533435.42,4840340.98,150.73,1920.0
533435.46,4840341.35,150.81,920.0
